"","Ind","Trial","Alt","Brand","Type","Price","Chosen"
"454",2409,2,1,"Godiva","Milk w Nuts",2.7,0
"455",2409,2,2,"Godiva","Dark",3.9,1
"456",2409,2,3,"Hersheys","Milk w Nuts",0.7,0
"457",2409,3,1,"Hersheys","Dark w Nuts",1.7,0
"458",2409,3,2,"Godiva","Dark",3.7,1
"459",2409,3,3,"Hersheys","Dark",3,0
"460",2409,4,1,"Lindt","Milk",1,1
"461",2409,4,2,"Lindt","Milk w Nuts",3.6,0
"462",2409,4,3,"Ghirardelli","Dark w Nuts",0.5,0
"463",2409,5,1,"Hersheys","Milk w Nuts",0.8,0
"464",2409,5,2,"Godiva","Dark",1.5,1
"465",2409,5,3,"Hersheys","White",3.3,0
"466",2409,6,1,"Lindt","Milk",3.1,0
"467",2409,6,2,"Dove","White",2.5,0
"468",2409,6,3,"Godiva","Dark",2.6,1
"469",2409,7,1,"Godiva","White",3.1,1
"470",2409,7,2,"Dove","Dark w Nuts",4,0
"471",2409,7,3,"Godiva","Milk",2.1,0
"472",2409,8,1,"Hersheys","Dark w Nuts",0.8,0
"473",2409,8,2,"Godiva","White",3.2,0
"474",2409,8,3,"Godiva","Dark",1.1,1
"475",2409,9,1,"Lindt","Dark",2.3,0
"476",2409,9,2,"Godiva","Dark",1.7,1
"477",2409,9,3,"Godiva","White",3.8,0
"478",2409,10,1,"Lindt","Milk w Nuts",0.6,0
"479",2409,10,2,"Godiva","Milk w Nuts",0.8,0
"480",2409,10,3,"Hersheys","Dark",3.7,1
"481",2409,11,1,"Godiva","Milk",1.6,1
"482",2409,11,2,"Dove","White",0.7,0
"483",2409,11,3,"Hersheys","Dark w Nuts",1.2,0
"484",2409,12,1,"Godiva","Dark w Nuts",1.1,0
"485",2409,12,2,"Dove","Dark w Nuts",0.8,0
"486",2409,12,3,"Lindt","Dark",3.7,1
"487",2409,13,1,"Dove","Milk",3,0
"488",2409,13,2,"Lindt","White",0.8,0
"489",2409,13,3,"Godiva","White",1.9,1
"490",2409,14,1,"Lindt","Dark w Nuts",0.6,0
"491",2409,14,2,"Dove","Milk",3.5,1
"492",2409,14,3,"Dove","Milk w Nuts",1.9,0
"493",2409,15,1,"Godiva","Dark",3.7,0
"494",2409,15,2,"Ghirardelli","Dark",1.5,1
"495",2409,15,3,"Dove","Dark",1.6,0
"496",2409,16,1,"Hersheys","Milk w Nuts",0.5,0
"497",2409,16,2,"Dove","Milk",3.8,1
"498",2409,16,3,"Dove","Dark w Nuts",3.7,0
"499",2409,17,1,"Dove","Milk",3.9,1
